"Institute Name","Program Name","Seat Capacity","Female Supernumerary","Seat Capacity + Female Supernumerary"
"Indian Institute of Technology Patna","Chemical Science and Technology (4 Years, Bachelor of Technology)",40,7,47
"Indian Institute of Technology Patna","Civil Engineering (4 Years, Bachelor of Technology)",64,6,70
"Indian Institute of Technology Patna","Computer Science and Engineering (4 Years, Bachelor of Technology)",83,3,86
"Indian Institute of Technology Patna","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",48,2,50
"Indian Institute of Technology Patna","Engineering Physics (4 Years, Bachelor of Technology)",37,3,40
"Indian Institute of Technology Patna","Mathematics and Computing (4 Years, Bachelor of Technology)",47,3,50
"Indian Institute of Technology Patna","Mechanical Engineering (4 Years, Bachelor of Technology)",82,4,86
"Indian Institute of Technology Patna","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",43,3,46
"Indian Institute of Technology Patna","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",48,2,50
"Indian Institute of Technology Patna","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",46,4,50
"Indian Institute of Technology Patna","Economics (4 Years, Bachelor of Science)",24,0,24
"Indian Institute of Technology Patna","B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",10,0,10
"Indian Institute of Technology Patna","B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5,0,5
"Indian Institute of Technology Patna","B.Tech (Civil Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6,0,6
"Indian Institute of Technology Patna","B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5,0,5
"Indian Institute of Technology Patna","B.Tech (Electronics and Communication Engineering) - MBA in Hospital and Healthcare Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5,0,5
"Indian Institute of Technology Patna","B.Tech (Engineering Physics) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6,0,6
"Indian Institute of Technology Patna","B.Tech (Mathematics and Computing) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5,0,5
"Indian Institute of Technology Patna","B.Tech (Metallurgical and Materials Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6,0,6
"Indian Institute of Technology Patna","B.Tech (Electrical and Electronics Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6,0,6
"Indian Institute of Technology Patna","B.Tech (Artificial Intelligence and Data Science) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5,0,5
"Indian Institute of Technology Patna","B.Tech (Chemical Engineering) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5,0,5
"Indian Institute of Technology Patna","B.Tech (Mechanical Engineering) - MBA (IIM Mumbai) (5 Years, Bachelor of Technology and MBA (Dual Degree))",15,0,15
"Indian Institute of Technology Patna","B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10
