Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
CU Jharkhand,"Electrical Engineering (4 Years, Bachelor of Technology)",0,0,0,21,0,21,21
CU Jharkhand,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",0,0,0,21,0,21,21
Central University of Haryana,"Civil Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
Central University of Haryana,"Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
Central University of Haryana,"Electrical Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
Central University of Haryana,"Printing and Packaging Technology (4 Years, Bachelor of Technology)",0,0,0,30,0,30,30
Central University of Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
Central University of Jammu,"Computer Science and Engineering with specialization in Cyber Security (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
Central University of Jammu,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
Central University of Jammu,"Electronics and Communication Engineering (Avionics) (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
Central University of Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"Central University of Rajasthan, Rajasthan","Bio Medical Engineering (4 Years, Bachelor of Technology)",0,0,0,30,0,30,30
"Central University of Rajasthan, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,30,0,30,30
"Central University of Rajasthan, Rajasthan","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,30,0,30,30
"Central institute of Technology Kokrajar, Assam","Civil Engineering (4 Years, Bachelor of Technology)",0,0,0,4,1,5,5
"Central institute of Technology Kokrajar, Assam","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,6,1,7,7
"Central institute of Technology Kokrajar, Assam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,3,1,4,4
"Central institute of Technology Kokrajar, Assam","Food Engineering and Technology (4 Years, Bachelor of Technology)",0,0,0,4,1,5,5
"Central institute of Technology Kokrajar, Assam","Instrumentation Engineering (4 Years, Bachelor of Technology)",0,0,0,3,0,3,3
