Institute Name,Program Name,Seat Capacity,Female Supernumerary,Total
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",27,3,30
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",27,3,30
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",26,4,30
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",53,12,65
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",53,12,65
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",29,6,35
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",33,7,40
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",26,4,30
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",53,12,65
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",29,6,35
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",34,6,40
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",26,4,30
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",27,3,30
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",40,10,50
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",64,16,80
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",40,10,50
Indian Institute of Technology Jodhpur,"Electronics Engineering (4 Years, Bachelor of Technology)",40,10,50
Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",72,18,90
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",48,12,60
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",40,10,50
