Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) KERALA",86,1,87,86,0,86,-1
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than KERALA",86,0,86,86,1,87,1
National Institute of Technology Calicut,"Energy Engineering (4 Years, Bachelor of Technology) KERALA",0,0,0,20,0,20,20
National Institute of Technology Calicut,"Energy Engineering (4 Years, Bachelor of Technology) Other than KERALA",0,0,0,20,0,20,20
National Institute of Technology Calicut,"Engineering Physics (4 Years, Bachelor of Technology) KERALA",18,0,18,19,0,19,1
National Institute of Technology Calicut,"Engineering Physics (4 Years, Bachelor of Technology) Other than KERALA",19,0,19,18,0,18,-1
National Institute of Technology Calicut,"Materials Science and Engineering (4 Years, Bachelor of Technology) KERALA",15,0,15,15,0,15,0
National Institute of Technology Calicut,"Materials Science and Engineering (4 Years, Bachelor of Technology) Other than KERALA",15,0,15,15,0,15,0
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology) KERALA",85,18,103,86,16,102,-1
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than KERALA",85,18,103,86,17,103,0
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology) KERALA",30,0,30,29,0,29,-1
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology) Other than KERALA",29,0,29,30,0,30,1
National Institute of Technology Delhi,"Aerospace Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",12,0,12,12,0,12,0
National Institute of Technology Delhi,"Aerospace Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12,0,12,12,0,12,0
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",10,0,10,10,0,10,0
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",10,0,10,10,0,10,0
National Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",13,0,13,13,0,13,0
National Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12,0,12,12,0,12,0
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",60,0,60,60,0,60,0
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",60,0,60,60,0,60,0
National Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",30,0,30,30,0,30,0
National Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",30,0,30,30,0,30,0
National Institute of Technology Delhi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",30,0,30,30,0,30,0
National Institute of Technology Delhi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",30,0,30,30,0,30,0
National Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",20,0,20,20,0,20,0
National Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",20,0,20,20,0,20,0
National Institute of Technology Delhi,"VLSI Design and Technology (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",13,0,13,13,0,13,0
National Institute of Technology Delhi,"VLSI Design and Technology (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12,0,12,12,0,12,0
National Institute of Technology Durgapur,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology) Other than WEST BENGAL",30,0,30,30,0,30,0
National Institute of Technology Durgapur,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology) WEST BENGAL",30,0,30,30,0,30,0
National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology) Other than WEST BENGAL",37,0,37,37,0,37,0
National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology) WEST BENGAL",38,0,38,38,0,38,0
National Institute of Technology Durgapur,"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than WEST BENGAL",3,0,3,3,0,3,0
National Institute of Technology Durgapur,"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree)) WEST BENGAL",4,0,4,4,0,4,0
National Institute of Technology Durgapur,"Chemical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",38,0,38,38,0,38,0
National Institute of Technology Durgapur,"Chemical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",37,0,37,37,0,37,0
National Institute of Technology Durgapur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than WEST BENGAL",3,0,3,3,0,3,0
National Institute of Technology Durgapur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) WEST BENGAL",4,0,4,4,0,4,0
National Institute of Technology Durgapur,"Chemistry (5 Years, Integrated Master of Science) Other than WEST BENGAL",10,0,10,10,0,10,0
National Institute of Technology Durgapur,"Chemistry (5 Years, Integrated Master of Science) WEST BENGAL",9,0,9,9,0,9,0
National Institute of Technology Durgapur,"Civil Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",40,0,40,40,0,40,0
National Institute of Technology Durgapur,"Civil Engineering (4 Years, Bachelor of Technology) WEST BENGAL",40,0,40,40,0,40,0
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",93,0,93,93,0,93,0
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology) WEST BENGAL",94,0,94,94,0,94,0
National Institute of Technology Durgapur,"Electrical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",50,0,50,50,0,50,0
National Institute of Technology Durgapur,"Electrical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",50,0,50,50,0,50,0
National Institute of Technology Durgapur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",48,0,48,48,0,48,0
National Institute of Technology Durgapur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) WEST BENGAL",49,0,49,49,0,49,0
National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",93,0,93,93,0,93,0
National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",94,0,94,94,0,94,0
National Institute of Technology Durgapur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",38,0,38,38,0,38,0
National Institute of Technology Durgapur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) WEST BENGAL",37,0,37,37,0,37,0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",4,0,4,4,0,4,0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology) GOA",14,0,14,14,0,14,0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",19,0,19,19,0,19,0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5,0,5,5,0,5,0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology) GOA",20,0,20,20,0,20,0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25,0,25,25,0,25,0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5,0,5,5,0,5,0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) GOA",20,0,20,20,0,20,0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25,0,25,25,0,25,0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5,0,5,5,0,5,0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) GOA",20,0,20,20,0,20,0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25,0,25,25,0,25,0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",4,0,4,4,0,4,0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology) GOA",15,0,15,15,0,15,0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",18,0,18,18,0,18,0
National Institute of Technology Hamirpur,"Architecture (5 Years, Bachelor of Architecture) HIMACHAL PRADESH",29,0,29,29,0,29,0
National Institute of Technology Hamirpur,"Architecture (5 Years, Bachelor of Architecture) Other than HIMACHAL PRADESH",29,0,29,29,0,29,0
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",38,0,38,38,0,38,0
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",38,0,38,38,0,38,0
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62,0,62,61,0,61,-1
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",61,0,61,62,0,62,1
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62,0,62,62,0,62,0
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",62,0,62,62,0,62,0
National Institute of Technology Hamirpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HIMACHAL PRADESH",14,0,14,14,0,14,0
National Institute of Technology Hamirpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HIMACHAL PRADESH",14,0,14,14,0,14,0
National Institute of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62,0,62,63,0,63,1
National Institute of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",63,0,63,62,0,62,-1
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",59,0,59,58,0,58,-1
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",58,0,58,59,0,59,1
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HIMACHAL PRADESH",14,0,14,14,0,14,0
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HIMACHAL PRADESH",14,0,14,14,0,14,0
National Institute of Technology Hamirpur,"Engineering Physics (4 Years, Bachelor of Technology) HIMACHAL PRADESH",25,0,25,25,0,25,0
National Institute of Technology Hamirpur,"Engineering Physics (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",25,0,25,25,0,25,0
